,BatterName,batter,PA_flag,AB,IsHit,PitchesThrown,SwungOn,ContactMade,IsStrikeout,IsWalk,IsHBP,IsBIP,IsGB,IsLD,IsFB,IsSingle,IsDouble,IsTriple,IsHomer,Cont%,Swing%,K%,BB%,AVG,OBP,SLG,Split,Statcast PC,Statcast BBE,GB%,LD%,FB%,SwtSpot%,Chase%,EV 90
188,Brayan Buelvas,683454,5,4,0,18,8,5,1,1,0,3,1,0,0,0,0,0,0,0.625,0.4444444444444444,0.2,0.2,0.0,0.2,0.0,All,13.0,1.0,1.0,0.0,0.0,0.0,0.25,92.7
189,Brayan Rocchio,677587,50,47,15,172,96,76,10,3,0,37,16,10,6,10,4,0,1,0.7916666666666666,0.5581395348837209,0.2,0.06,0.3191489361702128,0.36,0.46808510638297873,All,161.0,32.0,0.5,0.3125,0.1875,0.40625,0.31645569620253167,105.3
190,Brayden Jobert,801430,3,3,1,12,7,5,1,0,0,2,0,1,0,0,1,0,0,0.7142857142857143,0.5833333333333334,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,All,12.0,2.0,0.0,0.5,0.0,0.5,0.4,99.84
191,Brayden Taylor,694966,15,14,4,33,19,12,4,1,0,10,1,0,1,2,1,0,1,0.631578947368421,0.5757575757575758,0.26666666666666666,0.06666666666666667,0.2857142857142857,0.3333333333333333,0.5714285714285714,All,14.0,2.0,0.5,0.0,0.5,0.5,0.25,97.78999999999999
192,Braylen Wimmer,687918,2,2,1,8,4,2,1,0,0,1,0,1,0,1,0,0,0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,All,8.0,1.0,0.0,1.0,0.0,1.0,0.42857142857142855,101.5
193,Braylon Payne,815520,5,4,1,23,12,10,1,1,0,3,0,0,0,0,1,0,0,0.8333333333333334,0.5217391304347826,0.2,0.2,0.25,0.4,0.5,All,11.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,71.6
194,Brendan Donovan,680977,54,49,11,224,94,71,11,4,1,38,21,6,8,10,0,1,0,0.7553191489361702,0.41964285714285715,0.2037037037037037,0.07407407407407407,0.22448979591836735,0.2962962962962963,0.2653061224489796,All,194.0,36.0,0.5833333333333334,0.16666666666666666,0.2222222222222222,0.25,0.23404255319148937,101.74
195,Brendan Jones,800957,19,15,5,80,29,27,3,4,0,12,5,3,1,4,1,0,0,0.9310344827586207,0.3625,0.15789473684210525,0.21052631578947367,0.3333333333333333,0.47368421052631576,0.4,All,78.0,11.0,0.45454545454545453,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.16666666666666666,105.13
196,Brendan Rodgers,663898,50,49,13,175,92,78,8,1,0,41,5,8,1,6,7,0,0,0.8478260869565217,0.5257142857142857,0.16,0.02,0.2653061224489796,0.28,0.40816326530612246,All,68.0,14.0,0.35714285714285715,0.5714285714285714,0.07142857142857142,0.5714285714285714,0.3333333333333333,108.9
197,Brenden Dixon,686981,3,3,0,14,7,2,3,0,0,0,0,0,0,0,0,0,0,0.2857142857142857,0.5,1.0,0.0,0.0,0.0,0.0,All,14.0,0.0,,,,,0.5,
198,Brennan Milone,686810,6,4,1,21,9,8,0,2,0,4,0,0,2,1,0,0,0,0.8888888888888888,0.42857142857142855,0.0,0.3333333333333333,0.25,0.5,0.25,All,14.0,2.0,0.0,0.0,1.0,0.0,0.16666666666666666,86.12
199,Brenner Cox,702685,3,2,1,11,7,3,1,1,0,1,0,1,0,0,1,0,0,0.42857142857142855,0.6363636363636364,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,1.0,All,8.0,1.0,0.0,1.0,0.0,1.0,0.0,104.9
200,Brenny Escanio,691601,5,5,2,12,8,5,1,0,0,4,0,2,1,1,0,0,1,0.625,0.6666666666666666,0.2,0.0,0.4,0.4,1.0,All,8.0,3.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,101.74000000000001
201,Brent Rooker,667670,46,39,10,116,67,41,12,2,1,31,3,1,5,4,3,0,3,0.6119402985074627,0.5775862068965517,0.2608695652173913,0.043478260869565216,0.2564102564102564,0.2826086956521739,0.5641025641025641,All,45.0,9.0,0.3333333333333333,0.1111111111111111,0.5555555555555556,0.2222222222222222,0.125,103.56
202,Brenton Doyle,686668,60,56,14,220,114,84,15,4,0,41,13,11,12,9,3,0,2,0.7368421052631579,0.5181818181818182,0.25,0.06666666666666667,0.25,0.3,0.4107142857142857,All,220.0,41.0,0.3170731707317073,0.2682926829268293,0.2926829268292683,0.43902439024390244,0.30097087378640774,108.8
