,Player,SAVID,FGID,Team,Level,Age,K%,BB%,Brl%,Solid%,Flare%,Under%,Topped%,Weak%,PPA,HBPRate,SplitK_R,SplitK_L,SplitBB_R,SplitBB_L,SplitBrl_R,SplitBrl_L,SplitSolid_R,SplitSolid_L,SplitFlare_R,SplitFlare_L,SplitTopped_R,SplitTopped_L,SplitUnder_R,SplitUnder_L,SplitWeak_R,SplitWeak_L
383,Andrew Abbott,671096,29911,CIN,MLB,25.9,0.223,0.091,0.087,0.067,0.239,0.333,0.244,0.041,3.977,0.006,0.9683333333333333,1.0606666666666666,1.0353333333333334,0.8393333333333333,1.0923333333333334,0.7839999999999999,1.0693333333333335,0.7796666666666666,1.0046666666666666,1.0243333333333333,0.9563333333333333,1.1056666666666666,1.0183333333333333,0.9450000000000001,0.888,1.2710000000000001
384,Rhett Lowder,695076,33876,CIN,MLB,23.1,0.197,0.091,0.064,0.064,0.248,0.271,0.314,0.04,3.891,0.012,1.021,0.968,0.896,1.129,1.02,1.06,1.021,1.071,0.981,1.019,1.016,0.94,0.995,1.059,0.964,0.821
385,Alexis Diaz,664747,21132,CIN,MLB,28.5,0.288,0.123,0.075,0.062,0.237,0.334,0.265,0.045,3.955,0.026,1.0236666666666665,0.9683333333333333,0.9,1.1186666666666667,0.9563333333333334,1.1026666666666667,0.9503333333333333,1.117,1.0103333333333333,0.9873333333333333,1.0423333333333333,0.9249999999999999,0.98,1.0576666666666665,0.9613333333333333,0.8966666666666666
386,Connor Phillips,683175,27649,CIN,MLB,23.9,0.247,0.099,0.089,0.06,0.244,0.301,0.251,0.044,3.969,0.016,1.021,0.968,0.896,1.129,1.02,1.06,1.021,1.071,0.981,1.019,1.016,0.94,0.995,1.059,0.964,0.821
387,Lyon Richardson,680689,24581,CIN,MLB,25.2,0.192,0.116,0.106,0.06,0.239,0.242,0.324,0.04,4.151,0.014,1.021,0.968,0.896,1.129,1.02,1.06,1.021,1.071,0.981,1.019,1.016,0.94,0.995,1.059,0.964,0.821
388,Luis Mey,682825,sa3010130,CIN,MLB,23.8,0.22,0.146,0.08,0.063,0.243,0.258,0.313,0.043,3.909,0.03,1.021,0.968,0.896,1.129,1.02,1.06,1.021,1.071,0.981,1.019,1.016,0.94,0.995,1.059,0.964,0.821
389,Yosver Zululeta,691172,27765,CIN,MLB,27.2,0.213,0.115,0.062,0.05,0.24,0.157,0.492,0.041,4.145,0.028,1.021,0.968,0.896,1.129,1.02,1.06,1.021,1.071,0.981,1.019,1.016,0.94,0.995,1.059,0.964,0.821
390,Kyle Freeland,607536,16256,COL,MLB,31.9,0.155,0.056,0.086,0.066,0.243,0.248,0.31,0.043,3.909,0.009,0.972,1.0456666666666665,0.9986666666666667,0.9783333333333333,1.0726666666666667,0.857,1.0636666666666668,0.8029999999999999,1.017,0.9786666666666667,0.9596666666666667,1.0933333333333333,1.0253333333333332,0.9193333333333333,0.843,1.4326666666666668
391,Antonio Senzatela,622608,15488,COL,MLB,30.2,0.143,0.054,0.071,0.062,0.25,0.202,0.358,0.043,3.909,0.01,1.039,0.9546666666666667,0.8656666666666667,1.1483333333333334,1.0736666666666668,0.9826666666666667,0.9923333333333333,1.068,1.007,0.9939999999999999,0.9753333333333334,0.9936666666666666,1.0183333333333333,1.0186666666666666,1.0183333333333333,0.8403333333333333
392,Ryan Feltner,663372,21446,COL,MLB,28.6,0.197,0.088,0.075,0.067,0.243,0.257,0.31,0.044,3.909,0.009,1.0266666666666666,0.967,0.881,1.1323333333333334,1.067,0.989,0.9753333333333333,1.084,0.9676666666666667,1.0313333333333332,1.0276666666666667,0.944,0.984,1.0513333333333332,1.0,0.858
