,Player,SAVID,FGID,Team,Level,Age,K%,BB%,Brl%,Solid%,Flare%,Under%,Topped%,Weak%,BrlHR,Brl3B,Brl2B,Brl1B,BrlBABIP,BrlOut,SolidHR,Solid3B,Solid2B,Solid1B,SolidBABIP,SolidOut,FlareHR,Flare3B,Flare2B,Flare1B,FlareBABIP,FlareOut,UnderHR,Under3B,Under2B,Under1B,UnderBABIP,UnderOut,ToppedHR,Topped3B,Topped2B,Topped1B,ToppedBABIP,ToppedOut,WeakHR,Weak3B,Weak2B,Weak1B,WeakBABIP,WeakOut,SBAtt%,SBSuccess%,PPA,HBPRate,SplitK_R,SplitK_L,SplitBB_R,SplitBB_L,SplitBrl_R,SplitBrl_L,SplitSolid_R,SplitSolid_L,SplitFlare_R,SplitFlare_L,SplitTopped_R,SplitTopped_L,SplitUnder_R,SplitUnder_L,SplitWeak_R,SplitWeak_L
1061,Max Kepler,596146,12144,PHI,MLB,32.2,0.212,0.072,0.085,0.076,0.24,0.309,0.262,0.028,0.484,0.061,0.179,0.018,0.743,0.257,0.07,0.016,0.224,0.115,0.425,0.575,0.0,0.006,0.1,0.534,0.64,0.36,0.006,0.002,0.024,0.029,0.061,0.9390000000000001,0.0,0.0,0.015,0.147,0.162,0.838,0.0,0.0,0.026,0.231,0.257,0.743,0.03548627450980392,0.65,3.8535645472061657,0.011025358324145534,0.982,1.0305,1.087,0.9185,1.103,0.6759999999999999,1.018,0.9830000000000001,1.0045,1.005,0.9535,1.0995,1.034,0.9475,0.871,1.3135
1062,J.T. Realmuto,592663,11739,PHI,MLB,34.1,0.268,0.061,0.108,0.08,0.239,0.22,0.307,0.046,0.467,0.04,0.209,0.034,0.751,0.249,0.069,0.025,0.22,0.119,0.433,0.567,0.0,0.007,0.1,0.554,0.661,0.33899999999999997,0.008,0.003,0.018,0.025,0.054,0.946,0.0,0.002,0.012,0.16,0.174,0.8260000000000001,0.0,0.0,0.002,0.184,0.186,0.8140000000000001,0.06037971014492754,0.7277777777777779,3.861003861003861,0.02030456852791878,0.992,1.0285,0.9305,1.0405,0.9635,1.173,0.9964999999999999,1.064,0.994,1.0025,1.0139999999999998,0.9595,1.017,0.9575,0.9495,1.0070000000000001
1063,Nick Castellanos,592206,11737,PHI,MLB,33.1,0.234,0.06,0.088,0.069,0.275,0.262,0.272,0.034,0.484,0.033,0.242,0.008,0.767,0.23299999999999998,0.078,0.017,0.211,0.121,0.427,0.573,0.0,0.008,0.098,0.564,0.67,0.32999999999999996,0.008,0.002,0.03,0.029,0.069,0.931,0.0,0.0,0.017,0.15,0.167,0.833,0.0,0.0,0.002,0.152,0.154,0.846,0.05936043956043956,0.8136363636363637,3.5906642728904847,0.009669621273166801,1.0194999999999999,0.956,0.9445,1.0074999999999998,1.0194999999999999,1.0234999999999999,1.005,1.042,0.9815,1.037,1.0175,0.949,0.9924999999999999,1.0234999999999999,0.9974999999999999,0.878
1064,Bryson Stott,681082,26294,PHI,MLB,27.5,0.162,0.079,0.041,0.055,0.262,0.286,0.324,0.032,0.511,0.0,0.187,0.0,0.698,0.30200000000000005,0.074,0.016,0.211,0.102,0.403,0.597,0.0,0.006,0.098,0.556,0.66,0.33999999999999997,0.008,0.002,0.028,0.026,0.064,0.9359999999999999,0.0,0.002,0.021,0.165,0.188,0.812,0.0,0.0,0.002,0.239,0.241,0.759,0.17274117647058823,0.8780821917808219,4.098360655737705,0.005535055350553505,0.954,1.116,1.0165,1.139,1.0805,0.7375,1.081,0.772,1.006,1.001,0.95,1.1139999999999999,1.041,0.9215,0.9309999999999999,1.1175000000000002
1065,Brandon Marsh,669016,20202,PHI,MLB,27.3,0.318,0.11,0.098,0.094,0.267,0.221,0.289,0.031,0.393,0.086,0.208,0.039,0.726,0.274,0.073,0.02,0.219,0.117,0.429,0.571,0.0,0.008,0.094,0.578,0.68,0.31999999999999995,0.005,0.005,0.036,0.035,0.081,0.919,0.0,,0.023,0.182,,,0.0,0.0,0.002,0.14,0.142,0.858,0.13655675675675677,0.81875,4.2283298097251585,0.006932409012131715,0.954,1.1219999999999999,1.0995,0.876,1.0665,0.7785,1.0945,0.7124999999999999,1.028,0.9215,0.937,1.1665,1.0394999999999999,0.925,0.7464999999999999,1.7825
1066,Rafael Marchan,665561,21646,PHI,MLB,26.1,0.163,0.105,0.053,0.046,0.291,0.205,0.312,0.092,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.078,0.019,0.22,0.116,0.433,0.567,0.0,0.007,0.099,0.552,0.658,0.34199999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.145,0.145,0.855,0.0,0.0,0.0,0.204,0.204,0.796,0.04707272727272727,0.5,3.4444444444444446,0.02497398543184183,0.968,0.964,1.129,0.994,1.06,1.099,1.071,1.054,1.019,1.023,0.94,0.952,1.06,1.028,0.821,0.841
1067,Edmundo Sosa,624641,17022,PHI,MLB,29.1,0.244,0.038,0.081,0.061,0.243,0.252,0.315,0.048,0.437,0.101,0.2,0.065,0.803,0.19699999999999995,0.078,0.03,0.219,0.104,0.431,0.569,0.0,0.011,0.102,0.561,0.674,0.32599999999999996,0.005,0.004,0.027,0.033,0.069,0.931,0.0,0.0,0.01,0.151,0.161,0.839,0.0,0.0,0.04,0.315,0.355,0.645,0.10607450980392158,0.7921052631578948,3.816793893129771,0.041176470588235294,0.9964999999999999,1.005,0.9450000000000001,1.002,0.865,1.2955,0.8995,1.2155,0.9984999999999999,0.998,1.0715,0.867,0.954,1.0855000000000001,0.9914999999999999,0.9045
1068,Kody Clemens,665019,20572,PHI,MLB,28.9,0.256,0.052,0.065,0.065,0.226,0.328,0.288,0.028,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.078,0.019,0.22,0.116,0.433,0.567,0.0,0.005,0.143,0.525,0.673,0.32699999999999996,0.012,0.002,0.025,0.026,0.065,0.935,0.0,0.0,0.025,0.089,0.114,0.886,0.0,0.0,0.0,0.209,0.209,0.791,0.06355,0.7921052631578948,4.027707808564232,0.007198560287942412,0.968,1.047,1.129,0.982,1.06,0.821,1.071,0.854,1.019,0.977,0.94,1.093,1.06,0.92,0.821,1.374
1069,Johan Rojas,679032,24336,PHI,MLB,24.6,0.209,0.034,0.023,0.041,0.228,0.199,0.419,0.09,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.078,0.019,0.22,0.116,0.433,0.567,0.0,0.023,0.092,0.546,0.661,0.33899999999999997,0.005,0.002,0.025,0.031,0.063,0.937,0.0,,0.033,0.197,,,0.0,0.0,0.002,0.258,0.26,0.74,0.2904766917293233,0.8428571428571429,3.574387947269303,0.014989293361884369,1.021,0.964,0.896,0.994,1.02,1.099,1.021,1.054,0.981,1.023,1.015,0.952,0.992,1.028,0.964,0.841
1070,Weston Wilson,642215,19358,PHI,MLB,30.6,0.292,0.114,0.074,0.047,0.227,0.299,0.318,0.036,0.5,0.0,0.2,0.0,0.7,0.30000000000000004,0.078,0.019,0.22,0.116,0.433,0.567,0.0,0.007,0.099,0.552,0.658,0.34199999999999997,0.007,0.003,0.026,0.029,0.065,0.935,0.0,0.0,0.0,0.167,0.167,0.833,0.0,0.0,0.0,0.153,0.153,0.847,0.1966637532133676,0.8230769230769232,3.9583333333333335,0.008469055374592834,1.021,0.964,0.896,0.994,1.02,1.099,1.021,1.054,0.981,1.023,1.015,0.952,0.992,1.028,0.964,0.841
